iter	Passed	Remaining
0	0	356
1	1	327
2	1	323
3	2	315
4	3	303
5	3	283
6	3	274
7	4	272
8	4	266
9	6	295
10	6	286
11	6	280
12	7	283
13	8	300
14	9	292
15	9	286
16	10	289
17	10	288
18	11	283
19	11	278
20	12	275
21	12	268
22	12	266
23	13	262
24	13	259
25	14	263
26	14	258
27	15	256
28	15	252
29	15	249
30	16	246
31	16	244
32	17	242
33	17	239
34	18	239
35	18	238
36	18	235
37	19	233
38	19	231
39	20	230
40	20	228
41	20	227
42	21	224
43	21	224
44	22	223
45	22	222
46	23	223
47	23	222
48	24	222
49	24	220
50	24	219
51	25	223
52	27	227
53	27	226
54	27	225
55	28	223
56	28	222
57	29	222
58	29	220
59	29	219
60	30	218
61	30	218
62	31	216
63	31	214
64	31	212
65	32	211
66	32	211
67	33	210
68	33	209
69	33	207
70	34	206
71	34	204
72	34	203
73	35	203
74	36	205
75	36	205
76	37	204
77	37	204
78	38	203
79	38	202
80	38	201
81	39	200
82	39	199
83	40	198
84	40	197
85	40	196
86	41	195
87	41	194
88	41	193
89	42	192
90	42	191
91	43	191
92	43	189
93	43	188
94	44	188
95	44	187
96	44	186
97	45	185
98	45	184
99	45	183
100	46	182
101	46	181
102	46	180
103	47	180
104	47	179
105	47	177
106	48	177
107	48	176
108	48	175
109	49	174
110	49	173
111	49	173
112	50	172
113	50	171
114	51	170
115	51	170
116	51	169
117	52	168
118	52	168
119	52	167
120	53	167
121	53	166
122	53	165
123	55	167
124	55	166
125	55	165
126	56	165
127	56	164
128	56	163
129	57	163
130	57	162
131	58	161
132	58	161
133	58	160
134	59	159
135	59	159
136	59	158
137	60	157
138	60	157
139	61	157
140	61	157
141	62	157
142	62	156
143	63	157
144	63	156
145	64	156
146	64	155
147	65	154
148	65	154
149	65	153
150	66	153
151	66	152
152	67	152
153	67	151
154	67	150
155	68	150
156	68	149
157	68	149
158	69	148
159	69	148
160	69	147
161	70	146
162	70	146
163	71	145
164	71	144
165	71	144
166	72	143
167	72	143
168	72	142
169	73	142
170	73	141
171	74	141
172	74	140
173	74	140
174	75	139
175	75	139
176	76	139
177	76	138
178	76	138
179	77	137
180	77	136
181	77	136
182	78	135
183	78	135
184	78	134
185	79	133
186	79	133
187	79	132
188	80	132
189	80	131
190	80	130
191	81	130
192	81	130
193	82	130
194	82	129
195	83	128
196	83	128
197	83	127
198	84	127
199	84	126
200	84	126
201	85	126
202	85	125
203	86	124
204	86	124
205	86	123
206	87	123
207	87	123
208	88	122
209	88	122
210	89	122
211	89	121
212	89	121
213	90	120
214	90	120
215	91	119
216	91	119
217	91	118
218	92	118
219	92	118
220	93	117
221	93	117
222	93	116
223	94	116
224	94	115
225	94	114
226	95	114
227	95	113
228	95	113
229	96	112
230	96	112
231	96	111
232	97	111
233	98	111
234	98	111
235	98	110
236	99	110
237	100	110
238	101	110
239	101	109
240	101	109
241	102	108
242	102	108
243	103	108
244	104	109
245	105	108
246	105	108
247	106	108
248	106	107
249	107	107
250	107	106
251	108	106
252	108	106
253	108	105
254	109	105
255	109	104
256	110	104
257	110	103
258	110	103
259	111	102
260	111	102
